name,domain,source,sourceEvidenceUrl
"Ameren","ameren.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"American Electric Power","aep.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"American Express","americanexpress.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"American International Group","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"American Tower","americantower.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"American Water Works","americanwaterworks.net","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Ameriprise Financial","ameriprise.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Ametek","ametek.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Amgen","amgen.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Amphenol","amphenol.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Analog Devices","analog.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Aon plc","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"APA Corporation","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Apollo Global Management","apollo.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Apple Inc.","appleinclusion.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Applied Materials","appliedmaterials.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"AppLovin","applovin.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Aptiv","aptiv.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Arch Capital Group","archgroup.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Archer Daniels Midland","adm.co","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Ares Management","aresmgmt.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Arista Networks","arista.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Arthur J. Gallagher & Co.","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Assurant","assurant.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"AT&T","att.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Atmos Energy","atmosenergy.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Autodesk","autodesk.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Automatic Data Processing","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"AutoZone","autozone.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"AvalonBay Communities","avaloncommunities.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Avery Dennison","averydennison.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Axon Enterprise","axon-enterprises.co.uk","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Baker Hughes","bakerhughes.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Ball Corporation","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Bank of America","bank-locations.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Baxter International","baxter.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Becton Dickinson","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Berkshire Hathaway","berkshirehathaway.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Best Buy","bestbuy.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Bio-Techne","bio-techne.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Biogen","biogen.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"BlackRock","blackrock.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Blackstone Inc.","blackstoneinc.net","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Block, Inc.","blockinc.org","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"BNY Mellon","bnymellon.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Boeing","boeingsuppliers.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Booking Holdings","bookingholdings.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Boston Scientific","bostonscientific.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Bristol Myers Squibb","bms.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Broadcom","broadcom.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Broadridge Financial Solutions","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Brown & Brown","bbinsurance.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Brown–Forman","brown-forman.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Builders FirstSource","bldr.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Bunge Global","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"BXP, Inc.","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"C.H. Robinson","chrobinson.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Cadence Design Systems","cadence.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Camden Property Trust","camdenliving.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Campbell's Company (The)","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Capital One","capitalone.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Cardinal Health","cardinalhealth.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Carnival","carnivalcorp.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Carrier Global","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Carvana","carvana.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Casey's","caseys.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Caterpillar Inc.","catmachine.co.in","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Cboe Global Markets","cboe.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"CBRE Group","cbre.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"CDW Corporation","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Cencora","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Centene Corporation","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"CenterPoint Energy","centerpointenergy.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"CF Industries","cfindustries.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Charles River Laboratories","criver.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Charles Schwab Corporation","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Charter Communications","charter.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Chevron Corporation","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Chipotle Mexican Grill","chipotle.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Chubb Limited","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Church & Dwight","churchdwight.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Ciena","ciena.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Cigna","cigna.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Cincinnati Financial","cinfin.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Cintas","cintasdecorrer.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Cisco","cisco.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Citigroup","citigroup.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Citizens Financial Group","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Clorox","clorox.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"CME Group","cmegroup.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"CMS Energy","cmsenergy.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Coca-Cola Company (The)","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Cognizant","cognizant.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Coherent Corp.","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Coinbase","coinbase.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Colgate-Palmolive","colgatepalmolive.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Comcast","comcast.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Comfort Systems USA","comfortsystemsusa.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Conagra Brands","conagrabrands.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"ConocoPhillips","conocophillips.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Consolidated Edison","coned.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Constellation Brands","cbrands.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Constellation Energy","constellationenergy.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Cooper Companies (The)","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Copart","copart.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Corning Inc.","corning.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Corpay","corpay.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Corteva","corteva.us","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"CoStar Group","costar.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Costco","costco.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Coterra","coterra.org","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"CRH plc","crh.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"CrowdStrike","crowdstrike.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Crown Castle","crowncastle.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"CSX Corporation","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Cummins","cummins.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"CVS Health","cvshealth.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Danaher Corporation","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Darden Restaurants","darden.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Datadog","datadoghq.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"DaVita","davita.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Deckers Brands","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Deere & Company","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Dell Technologies","cyberassessment.net","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Delta Air Lines","delta.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Devon Energy","devonenergy.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Dexcom","dexcom.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Diamondback Energy","diamondbackenergy.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Digital Realty","digitalrealty.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Dollar General","dollargeneral.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Dollar Tree","dollartree.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Dominion Energy","dominionenergy.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Domino's","dominos.com.au","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"DoorDash","doordash.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Dover Corporation","dovercorporation.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Dow Inc.","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"D. R. Horton","drhorton.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"DTE Energy","dteenergy.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Duke Energy","duke-energy.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"DuPont","dupont.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Eaton Corporation","poweringbusinessworldwide.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"eBay Inc.","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"EchoStar","echostar.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Ecolab","ecolab.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Edison International","edison.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Edwards Lifesciences","edwards.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Electronic Arts","ea.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Elevance Health","elevancehealth.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Emcor","emcorgroup.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Emerson Electric","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Entergy","entergy.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"EOG Resources","eogresources.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"EPAM Systems","epam.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"EQT Corporation","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Equifax","equifax.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Equinix","equinix.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Equity Residential","equityapartments.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Erie Indemnity","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Essex Property Trust","essexapartmenthomes.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Estée Lauder Companies (The)","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Everest Group","everestgrp.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Evergy","evergy.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Eversource Energy","eversource.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Exelon","exeloncorp.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Expand Energy","expandenergy.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Expedia Group","expediagroup.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Expeditors International","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Extra Space Storage","extraspace.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"ExxonMobil","exxonmobil.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"F5, Inc.","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"FactSet","factset.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Fair Isaac","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Fastenal","fastenal.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Federal Realty Investment Trust","federalrealty.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"FedEx","fedex.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Fidelity National Information Services","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Fifth Third Bancorp","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"First Solar","firstsolar.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"FirstEnergy","firstenergycorp.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Fiserv","fiserv.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Ford Motor Company","fordfund.org","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Fortinet","fortinet.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Fortive","fortive.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Fox Corporation (Class A)","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Fox Corporation (Class B)","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Franklin Resources","franklinresourcesllc.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Freeport-McMoRan","fcx.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Garmin","garmin.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Gartner","gartner.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"GE Aerospace","geaerospace.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"GE HealthCare","gehealthcare.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"GE Vernova","gevernova.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Gen Digital","gendigital.mx","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Generac","generac.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"General Dynamics","gd.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"General Mills","generalmills.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"General Motors","gm.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Genuine Parts Company","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Gilead Sciences","gilead.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Global Payments","globalpaymentsinc.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Globe Life","globelifeinsurance.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"GoDaddy","godaddy.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Goldman Sachs","goldmansachs.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Halliburton","halliburton.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Hartford (The)","hartford-theater.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Hasbro","hasbro.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"HCA Healthcare","hcahealthcare.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Healthpeak Properties","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Henry Schein","henryschein.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Hershey Company (The)","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Hewlett Packard Enterprise","hpe.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Hilton Worldwide","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Home Depot (The)","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Honeywell","honeywell.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Hormel Foods","hormelfoods.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Host Hotels & Resorts","hosthotels.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Howmet Aerospace","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"HP Inc.","hpincket.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Hubbell Incorporated","hubbell.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Humana","humana.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Huntington Bancshares","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Huntington Ingalls Industries","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"IBM","ibm.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"IDEX Corporation","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Idexx Laboratories","idexx.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Illinois Tool Works","itwcs.com.au","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Incyte","incyte.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Ingersoll Rand","ingersollrand.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Insulet Corporation","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Intel","intel.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Interactive Brokers","interactivebrokers.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Intercontinental Exchange","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"International Flavors & Fragrances","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"International Paper","internationalpaper.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Intuit","intuit.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Intuitive Surgical","","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Invesco","invesco.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Invitation Homes","invitationhomes.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"IQVIA","iqvia.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Iron Mountain","ironmountain.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"J.B. Hunt","dcscentralregion.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Jabil","jabil.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Jack Henry & Associates","jackhenry.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Jacobs Solutions","jacobssolutions.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Johnson & Johnson","jnj.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
"Johnson Controls","johnsoncontrols.com","clearbit_autocomplete","https://autocomplete.clearbit.com/v1/companies/suggest"
